article_order,article_id,article_title,category,asset_id,type,placement,filename,alt_text,aspect_ratio,prompt,required
44,B05,Bird Bathing and Feather Cleaning: What Owners Should Know,Bird Grooming,B05-FEATURED,featured_image,CMS featured image; do not insert again inside article body,bird-bathing-feather-care-featured.webp,Pet bird during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Bird Bathing and Feather Cleaning: What Owners Should Know”. Subject: pet bird. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the bird calmly standing on a secure perch with an experienced avian professional nearby; no forceful restraint, no cutting action, no aerosol, no fragrance and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
44,B05,Bird Bathing and Feather Cleaning: What Owners Should Know,Bird Grooming,B05-V1,in_article_visual,Immediately after the first major H2 section,bird-bathing-feather-care-visual-1.webp,Bird bathing-method comparison graphic for pet bird grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Bird Bathing and Feather Cleaning: What Owners Should Know”: Bird bathing-method comparison graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
44,B05,Bird Bathing and Feather Cleaning: What Owners Should Know,Bird Grooming,B05-V2,in_article_visual,"Near the middle decision, schedule or comparison section",bird-bathing-feather-care-visual-2.webp,Normal preening and feather-care diagram for pet bird grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Bird Bathing and Feather Cleaning: What Owners Should Know”: Normal preening and feather-care diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
45,B06,Wing and Feather Trimming: Questions to Ask Before a Bird Grooming Appointment,Bird Grooming,B06-FEATURED,featured_image,CMS featured image; do not insert again inside article body,bird-wing-feather-trimming-featured.webp,Pet bird during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Wing and Feather Trimming: Questions to Ask Before a Bird Grooming Appointment”. Subject: pet bird. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the bird calmly standing on a secure perch with an experienced avian professional nearby; no forceful restraint, no cutting action, no aerosol, no fragrance and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
45,B06,Wing and Feather Trimming: Questions to Ask Before a Bird Grooming Appointment,Bird Grooming,B06-V1,in_article_visual,Immediately after the first major H2 section,bird-wing-feather-trimming-visual-1.webp,Wing-trim decision matrix for pet bird grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Wing and Feather Trimming: Questions to Ask Before a Bird Grooming Appointment”: Wing-trim decision matrix.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
45,B06,Wing and Feather Trimming: Questions to Ask Before a Bird Grooming Appointment,Bird Grooming,B06-V2,in_article_visual,"Near the middle decision, schedule or comparison section",bird-wing-feather-trimming-visual-2.webp,What wing clipping can/cannot do graphic for pet bird grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Wing and Feather Trimming: Questions to Ask Before a Bird Grooming Appointment”: What wing clipping can/cannot do graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
46,B08,"African Grey Grooming: Feather, Nail and Beak Care Considerations",Bird Grooming,B08-FEATURED,featured_image,CMS featured image; do not insert again inside article body,african-grey-grooming-featured.webp,African grey parrot during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “African Grey Grooming: Feather, Nail and Beak Care Considerations”. Subject: African Grey parrot. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the bird calmly standing on a secure perch with an experienced avian professional nearby; no forceful restraint, no cutting action, no aerosol, no fragrance and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
46,B08,"African Grey Grooming: Feather, Nail and Beak Care Considerations",Bird Grooming,B08-V1,in_article_visual,Immediately after the first major H2 section,african-grey-grooming-visual-1.webp,African Grey powder-down diagram for African Grey parrot grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “African Grey Grooming: Feather, Nail and Beak Care Considerations”: African Grey powder-down diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
46,B08,"African Grey Grooming: Feather, Nail and Beak Care Considerations",Bird Grooming,B08-V2,in_article_visual,"Near the middle decision, schedule or comparison section",african-grey-grooming-visual-2.webp,Normal dander vs warning-sign comparison for African Grey parrot grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “African Grey Grooming: Feather, Nail and Beak Care Considerations”: Normal dander vs warning-sign comparison.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
47,B09,"Grooming Small Pet Birds: Budgies, Cockatiels and Lovebirds",Bird Grooming,B09-FEATURED,featured_image,CMS featured image; do not insert again inside article body,small-pet-bird-grooming-featured.webp,Small pet birds during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Grooming Small Pet Birds: Budgies, Cockatiels and Lovebirds”. Subject: small pet birds. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the bird calmly standing on a secure perch with an experienced avian professional nearby; no forceful restraint, no cutting action, no aerosol, no fragrance and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
47,B09,"Grooming Small Pet Birds: Budgies, Cockatiels and Lovebirds",Bird Grooming,B09-V1,in_article_visual,Immediately after the first major H2 section,small-pet-bird-grooming-visual-1.webp,Budgie/cockatiel/lovebird comparison table for small pet birds grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Grooming Small Pet Birds: Budgies, Cockatiels and Lovebirds”: Budgie/cockatiel/lovebird comparison table.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
47,B09,"Grooming Small Pet Birds: Budgies, Cockatiels and Lovebirds",Bird Grooming,B09-V2,in_article_visual,"Near the middle decision, schedule or comparison section",small-pet-bird-grooming-visual-2.webp,Small-bird handling-risk graphic for small pet birds grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Grooming Small Pet Birds: Budgies, Cockatiels and Lovebirds”: Small-bird handling-risk graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
48,R05,Rabbit Shedding Season: Managing Loose Fur and Coat Changes,Rabbit Grooming,R05-FEATURED,featured_image,CMS featured image; do not insert again inside article body,rabbit-shedding-season-featured.webp,Rabbit during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Rabbit Shedding Season: Managing Loose Fur and Coat Changes”. Subject: rabbit. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the rabbit calmly supported on a non-slip grooming surface; no full-water bath, no trancing, no scissors, no unsafe restraint and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
48,R05,Rabbit Shedding Season: Managing Loose Fur and Coat Changes,Rabbit Grooming,R05-V1,in_article_visual,Immediately after the first major H2 section,rabbit-shedding-season-visual-1.webp,Rabbit moult cycle diagram for rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Rabbit Shedding Season: Managing Loose Fur and Coat Changes”: Rabbit moult cycle diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
48,R05,Rabbit Shedding Season: Managing Loose Fur and Coat Changes,Rabbit Grooming,R05-V2,in_article_visual,"Near the middle decision, schedule or comparison section",rabbit-shedding-season-visual-2.webp,Normal vs abnormal bald-patch card for rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Rabbit Shedding Season: Managing Loose Fur and Coat Changes”: Normal vs abnormal bald-patch card.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
49,R07,Long-Haired Rabbit Grooming: Angora and Lionhead Coat Care,Rabbit Grooming,R07-FEATURED,featured_image,CMS featured image; do not insert again inside article body,long-haired-rabbit-grooming-featured.webp,Long-haired rabbit during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Long-Haired Rabbit Grooming: Angora and Lionhead Coat Care”. Subject: long-haired rabbit. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the rabbit calmly supported on a non-slip grooming surface; no full-water bath, no trancing, no scissors, no unsafe restraint and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
49,R07,Long-Haired Rabbit Grooming: Angora and Lionhead Coat Care,Rabbit Grooming,R07-V1,in_article_visual,Immediately after the first major H2 section,long-haired-rabbit-grooming-visual-1.webp,Angora vs Lionhead coat comparison for long-haired rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Long-Haired Rabbit Grooming: Angora and Lionhead Coat Care”: Angora vs Lionhead coat comparison.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
49,R07,Long-Haired Rabbit Grooming: Angora and Lionhead Coat Care,Rabbit Grooming,R07-V2,in_article_visual,"Near the middle decision, schedule or comparison section",long-haired-rabbit-grooming-visual-2.webp,High-friction area map for long-haired rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Long-Haired Rabbit Grooming: Angora and Lionhead Coat Care”: High-friction area map.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
50,R08,How to Prepare a Rabbit for a Mobile Grooming Appointment,Rabbit Grooming,R08-FEATURED,featured_image,CMS featured image; do not insert again inside article body,prepare-rabbit-mobile-grooming-featured.webp,Rabbit during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “How to Prepare a Rabbit for a Mobile Grooming Appointment”. Subject: rabbit. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the rabbit calmly supported on a non-slip grooming surface; no full-water bath, no trancing, no scissors, no unsafe restraint and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
50,R08,How to Prepare a Rabbit for a Mobile Grooming Appointment,Rabbit Grooming,R08-V1,in_article_visual,Immediately after the first major H2 section,prepare-rabbit-mobile-grooming-visual-1.webp,Rabbit appointment preparation checklist for rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How to Prepare a Rabbit for a Mobile Grooming Appointment”: Rabbit appointment preparation checklist.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
50,R08,How to Prepare a Rabbit for a Mobile Grooming Appointment,Rabbit Grooming,R08-V2,in_article_visual,"Near the middle decision, schedule or comparison section",prepare-rabbit-mobile-grooming-visual-2.webp,Medical red-flag card for rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How to Prepare a Rabbit for a Mobile Grooming Appointment”: Medical red-flag card.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
